Time (Red),ABV (Red),Time (Yellow),ABV (Yellow),Time (Green),ABV (Green),,
1/26/24 22:53,1.575,1/26/24 22:53,2.76,1/27/24 0:07,4.07,,
1/26/24 22:58,1.70625,1/26/24 22:58,2.89,1/27/24 0:24,4.07,,
1/26/24 23:04,1.575,1/26/24 23:04,2.89,1/27/24 0:35,3.94,,
1/26/24 23:20,1.70625,1/26/24 23:20,2.89,1/27/24 0:41,4.07,,
1/26/24 23:37,1.70625,1/26/24 23:37,2.89,1/27/24 0:57,4.07,,
1/26/24 23:54,1.8375,1/26/24 23:54,3.02,1/27/24 1:14,4.07,,
1/26/24 23:59,1.8375,1/26/24 23:59,2.89,1/27/24 1:31,4.07,,
1/27/24 0:05,1.8375,1/27/24 0:05,3.02,1/27/24 1:47,4.07,,
1/27/24 0:16,1.70625,1/27/24 0:16,3.02,1/27/24 2:04,4.07,,
1/27/24 0:33,1.8375,1/27/24 0:33,3.02,1/27/24 2:20,4.07,,
1/27/24 0:38,1.70625,1/27/24 0:38,2.89,1/27/24 2:37,4.07,,
1/27/24 0:44,1.8375,1/27/24 0:44,3.02,1/27/24 2:53,4.07,,
1/27/24 1:00,1.96875,1/27/24 1:00,3.02,1/27/24 3:10,4.07,,
1/27/24 1:17,1.8375,1/27/24 1:17,3.02,1/27/24 3:27,4.07,,
1/27/24 1:23,1.8375,1/27/24 1:23,3.02,1/27/24 3:43,4.07,,
1/27/24 1:34,1.8375,1/27/24 1:34,3.15,1/27/24 3:49,4.07,,
1/27/24 1:39,1.96875,1/27/24 1:39,3.02,1/27/24 4:00,4.07,,
1/27/24 1:56,1.8375,1/27/24 1:56,3.02,1/27/24 4:05,4.07,,
1/27/24 2:02,1.96875,1/27/24 2:02,3.15,1/27/24 4:11,4.07,,
1/27/24 2:19,1.8375,1/27/24 2:19,3.15,1/27/24 4:22,4.07,,
1/27/24 2:30,1.8375,1/27/24 2:30,3.28,1/27/24 4:27,4.07,,
1/27/24 2:47,1.96875,1/27/24 2:47,3.15,1/27/24 4:33,4.07,,
1/27/24 3:03,1.8375,1/27/24 3:03,3.15,1/27/24 4:49,4.07,,
1/27/24 3:20,1.70625,1/27/24 3:20,3.15,1/27/24 5:00,4.07,,
1/27/24 3:26,1.96875,1/27/24 3:26,3.28,1/27/24 5:11,4.07,,
1/27/24 3:31,1.96875,1/27/24 3:31,3.28,1/27/24 5:17,4.07,,
1/27/24 3:37,2.1,1/27/24 3:37,3.28,1/27/24 5:34,4.07,,
1/27/24 3:48,1.96875,1/27/24 3:48,3.15,1/27/24 5:50,4.07,,
1/27/24 3:54,2.1,1/27/24 3:54,3.41,1/27/24 6:07,4.07,,
1/27/24 4:00,1.96875,1/27/24 4:00,3.28,1/27/24 6:23,4.07,,
1/27/24 4:16,2.1,1/27/24 4:16,3.15,1/27/24 6:40,4.07,,
1/27/24 4:22,1.96875,1/27/24 4:22,3.41,1/27/24 6:57,4.07,,
1/27/24 4:28,2.1,1/27/24 4:28,3.28,1/27/24 7:13,4.07,,
1/27/24 4:34,1.96875,1/27/24 4:34,3.15,1/27/24 7:30,4.07,,
1/27/24 4:40,2.1,1/27/24 4:40,3.28,1/27/24 7:46,4.07,,
1/27/24 4:51,1.96875,1/27/24 4:51,3.41,1/27/24 8:03,4.07,,
1/27/24 5:07,2.1,1/27/24 5:07,3.28,1/27/24 8:20,4.07,,
1/27/24 5:14,2.1,1/27/24 5:14,3.41,1/27/24 8:36,4.07,,
1/27/24 5:31,1.96875,1/27/24 5:31,3.41,1/27/24 8:53,4.07,,
1/27/24 5:37,2.1,1/27/24 5:37,3.54,1/27/24 9:09,4.07,,
1/27/24 5:43,2.1,1/27/24 5:43,3.41,1/27/24 9:26,4.07,,
1/27/24 6:00,1.96875,1/27/24 6:00,3.54,1/27/24 9:43,4.07,,
1/27/24 6:05,2.1,1/27/24 6:05,3.41,1/27/24 9:48,4.20,,
1/27/24 6:22,2.1,1/27/24 6:22,3.54,1/27/24 9:54,4.07,,
1/27/24 6:28,2.1,1/27/24 6:28,3.41,1/27/24 10:10,4.07,,
1/27/24 6:45,2.1,1/27/24 6:45,3.54,1/27/24 10:27,4.07,,
1/27/24 6:56,2.1,1/27/24 6:56,3.41,1/27/24 10:44,4.07,,
1/27/24 7:07,2.1,1/27/24 7:07,3.54,1/27/24 10:49,4.20,,
1/27/24 7:13,1.96875,1/27/24 7:13,3.41,1/27/24 10:55,4.07,,
1/27/24 7:24,2.1,1/27/24 7:24,3.54,1/27/24 11:11,4.20,,
1/27/24 7:35,1.96875,1/27/24 7:35,3.41,1/27/24 11:28,4.07,,
1/27/24 7:46,2.1,1/27/24 7:46,3.68,1/27/24 11:39,4.20,,
1/27/24 7:58,2.1,1/27/24 7:58,3.54,1/27/24 11:50,4.07,,
1/27/24 8:03,2.1,1/27/24 8:03,3.68,1/27/24 11:56,4.20,,
1/27/24 8:09,2.1,1/27/24 8:09,3.54,1/27/24 12:07,4.07,,
1/27/24 8:15,2.1,1/27/24 8:15,3.68,1/27/24 12:23,4.07,,
1/27/24 8:20,2.23125,1/27/24 8:20,3.54,1/27/24 12:40,4.07,,
1/27/24 8:26,2.23125,1/27/24 8:26,3.68,1/27/24 12:51,4.20,,
1/27/24 8:37,2.1,1/27/24 8:37,3.54,1/27/24 13:02,4.07,,
1/27/24 8:48,2.23125,1/27/24 8:48,3.68,1/27/24 13:19,4.20,,
1/27/24 8:54,2.23125,1/27/24 8:54,3.54,1/27/24 13:35,4.20,,
1/27/24 9:11,2.23125,1/27/24 9:11,3.68,1/27/24 13:41,4.07,,
1/27/24 9:22,2.23125,1/27/24 9:22,3.54,1/27/24 13:57,4.07,,
1/27/24 9:28,2.23125,1/27/24 9:28,3.68,1/27/24 14:14,4.20,,
1/27/24 9:39,2.23125,1/27/24 9:39,3.54,1/27/24 14:20,4.07,,
1/27/24 9:50,2.23125,1/27/24 9:50,3.68,1/27/24 14:25,4.20,,
1/27/24 9:55,2.23125,1/27/24 9:55,3.68,1/27/24 14:42,4.20,,
1/27/24 10:12,2.3625,1/27/24 10:12,3.68,1/27/24 14:47,4.07,,
1/27/24 10:18,2.23125,1/27/24 10:18,3.81,1/27/24 15:04,4.07,,
1/27/24 10:23,2.3625,1/27/24 10:23,3.68,1/27/24 15:20,4.07,,
1/27/24 10:29,2.23125,1/27/24 10:29,3.54,1/27/24 15:26,4.20,,
1/27/24 10:35,2.23125,1/27/24 10:35,3.68,1/27/24 15:42,4.07,,
1/27/24 10:40,2.3625,1/27/24 10:40,3.81,1/27/24 15:59,4.20,,
1/27/24 10:46,2.3625,1/27/24 10:46,3.68,1/27/24 16:04,4.07,,
1/27/24 10:51,2.3625,1/27/24 10:51,3.54,1/27/24 16:15,4.20,,
1/27/24 11:03,2.3625,1/27/24 11:03,3.81,1/27/24 16:21,4.07,,
1/27/24 11:08,2.3625,1/27/24 11:08,3.68,1/27/24 16:38,4.07,,
1/27/24 11:19,2.3625,1/27/24 11:19,3.54,1/27/24 16:54,4.07,,
1/27/24 11:25,2.3625,1/27/24 11:25,3.68,1/27/24 17:11,4.07,,
1/27/24 11:31,2.49375,1/27/24 11:31,3.81,1/27/24 17:27,4.07,,
1/27/24 11:36,2.49375,1/27/24 11:36,3.54,1/27/24 17:38,4.20,,
1/27/24 11:47,2.49375,1/27/24 11:47,3.68,1/27/24 17:44,4.07,,
1/27/24 11:53,2.625,1/27/24 11:53,3.81,1/27/24 18:01,4.07,,
1/27/24 11:58,2.3625,1/27/24 11:58,3.68,1/27/24 18:17,4.07,,
1/27/24 12:04,2.49375,1/27/24 12:04,3.54,1/27/24 18:34,4.07,,
1/27/24 12:15,2.49375,1/27/24 12:15,3.68,1/27/24 18:50,4.07,,
1/27/24 12:32,2.49375,1/27/24 12:32,3.68,1/27/24 19:07,4.07,,
1/27/24 12:37,2.49375,1/27/24 12:37,3.54,1/27/24 19:24,4.07,,
1/27/24 12:43,2.49375,1/27/24 12:43,3.81,1/27/24 19:40,4.07,,
1/27/24 12:49,2.625,1/27/24 12:49,3.68,1/27/24 19:57,4.20,,
1/27/24 13:06,2.625,1/27/24 13:06,3.68,1/27/24 20:02,4.07,,
1/27/24 13:12,2.49375,1/27/24 13:12,3.81,1/27/24 20:19,4.07,,
1/27/24 13:17,2.625,1/27/24 13:17,3.68,1/27/24 20:35,4.07,,
1/27/24 13:34,2.625,1/27/24 13:34,3.68,1/27/24 20:52,4.07,,
1/27/24 13:45,2.625,1/27/24 13:45,3.68,1/27/24 21:09,4.07,,
1/27/24 14:02,2.625,1/27/24 14:02,3.68,1/27/24 21:25,4.07,,
1/27/24 14:13,2.625,1/27/24 14:13,3.68,1/27/24 21:42,4.07,,
1/27/24 14:19,2.625,1/27/24 14:19,3.81,1/27/24 21:58,4.07,,
1/27/24 14:30,2.75625,1/27/24 14:30,3.94,1/27/24 22:15,4.07,,
1/27/24 14:35,2.75625,1/27/24 14:35,3.68,1/27/24 22:32,4.07,,
1/27/24 14:52,2.625,1/27/24 14:52,3.81,1/27/24 22:48,4.07,,
1/27/24 15:09,2.75625,1/27/24 15:09,3.81,1/27/24 23:05,4.07,,
1/27/24 15:15,2.75625,1/27/24 15:15,3.68,1/27/24 23:21,4.07,,
1/27/24 15:31,2.75625,1/27/24 15:31,3.81,1/27/24 23:38,4.07,,
1/27/24 15:48,2.75625,1/27/24 15:48,3.68,1/27/24 23:54,4.07,,
1/27/24 16:05,2.75625,1/27/24 16:05,3.68,1/28/24 0:11,4.07,,
1/27/24 16:16,2.8875,1/27/24 16:16,3.81,1/28/24 0:28,4.07,,
1/27/24 16:27,2.75625,1/27/24 16:27,3.68,1/28/24 0:44,4.07,,
1/27/24 16:44,2.75625,1/27/24 16:44,3.68,1/28/24 1:01,4.07,,
1/27/24 16:50,2.75625,1/27/24 16:50,3.81,1/28/24 1:17,4.07,,
1/27/24 17:01,2.8875,1/27/24 17:01,3.68,1/28/24 1:28,4.20,,
1/27/24 17:18,2.8875,1/27/24 17:18,3.68,1/28/24 1:34,4.07,,
1/27/24 17:23,2.8875,1/27/24 17:23,3.81,1/28/24 1:51,4.07,,
1/27/24 17:34,2.8875,1/27/24 17:34,3.94,1/28/24 2:07,4.20,,
1/27/24 17:40,2.8875,1/27/24 17:40,3.94,1/28/24 2:13,4.07,,
1/27/24 17:46,2.8875,1/27/24 17:46,3.94,1/28/24 2:18,4.20,,
1/27/24 17:51,2.8875,1/27/24 17:51,3.81,1/28/24 2:35,4.20,,
1/27/24 18:03,3.01875,1/27/24 18:03,3.68,1/28/24 2:40,4.07,,
1/27/24 18:19,3.01875,1/27/24 18:19,3.81,1/28/24 2:46,4.20,,
1/27/24 18:25,3.01875,1/27/24 18:25,3.94,1/28/24 2:57,4.07,,
1/27/24 18:31,2.8875,1/27/24 18:31,3.81,1/28/24 3:02,4.20,,
1/27/24 18:47,3.01875,1/27/24 18:47,3.81,1/28/24 3:08,4.07,,
1/27/24 18:53,3.01875,1/27/24 18:53,3.68,1/28/24 3:25,4.07,,
1/27/24 18:58,3.01875,1/27/24 18:58,3.81,1/28/24 3:41,4.07,,
1/27/24 19:04,3.01875,1/27/24 19:04,3.94,1/28/24 3:58,4.07,,
1/27/24 19:09,3.01875,1/27/24 19:09,3.81,1/28/24 4:03,4.20,,
1/27/24 19:21,3.01875,1/27/24 19:21,3.81,1/28/24 4:09,4.07,,
1/27/24 19:26,3.01875,1/27/24 19:26,3.94,1/28/24 4:25,4.07,,
1/27/24 19:43,3.15,1/27/24 19:43,3.94,1/28/24 4:42,4.07,,
1/27/24 19:54,3.28125,1/27/24 19:54,3.81,1/28/24 4:47,4.20,,
1/27/24 20:11,3.28125,1/27/24 20:11,3.68,1/28/24 4:53,4.07,,
1/27/24 20:16,3.28125,1/27/24 20:16,3.68,1/28/24 4:58,4.20,,
1/27/24 20:22,3.28125,1/27/24 20:22,3.81,1/28/24 5:15,4.20,,
1/27/24 20:27,3.28125,1/27/24 20:27,3.68,1/28/24 5:26,4.07,,
1/27/24 20:38,3.28125,1/27/24 20:38,3.81,1/28/24 5:37,4.20,,
1/27/24 20:50,3.4125,1/27/24 20:50,3.68,1/28/24 5:43,4.07,,
1/27/24 21:01,3.4125,1/27/24 21:01,3.81,1/28/24 5:48,4.20,,
1/27/24 21:17,3.4125,1/27/24 21:17,3.81,1/28/24 6:05,4.20,,
1/27/24 21:34,3.4125,1/27/24 21:34,3.81,1/28/24 6:21,4.20,,
1/27/24 21:45,3.4125,1/27/24 21:45,3.68,1/28/24 6:38,4.20,,
1/27/24 22:02,3.4125,1/27/24 22:02,3.68,1/28/24 6:55,4.20,,
1/27/24 22:08,3.4125,1/27/24 22:08,3.81,1/28/24 7:11,4.20,,
1/27/24 22:19,3.4125,1/27/24 22:19,3.68,1/28/24 7:28,4.20,,
1/27/24 22:36,3.4125,1/27/24 22:36,3.68,1/28/24 7:44,4.07,,
1/27/24 22:52,3.4125,1/27/24 22:52,3.81,1/28/24 7:50,4.20,,
1/27/24 22:58,3.4125,1/27/24 22:58,3.68,1/28/24 8:07,4.20,,
1/27/24 23:04,3.4125,1/27/24 23:04,3.81,1/28/24 8:23,4.07,,
1/27/24 23:09,3.4125,1/27/24 23:09,3.94,1/28/24 8:29,4.20,,
1/27/24 23:26,3.54375,1/27/24 23:26,3.81,1/28/24 8:45,4.20,,
1/27/24 23:43,3.4125,1/27/24 23:43,3.81,1/28/24 9:02,4.20,,
1/27/24 23:54,3.54375,1/27/24 23:54,3.94,1/28/24 9:18,4.20,,
1/27/24 23:59,3.54375,1/27/24 23:59,3.81,1/28/24 9:35,4.20,,
1/28/24 0:16,3.54375,1/28/24 0:16,3.81,1/28/24 9:52,4.20,,
1/28/24 0:27,3.54375,1/28/24 0:27,3.94,1/28/24 10:08,4.20,,
1/28/24 0:44,3.4125,1/28/24 0:44,3.81,1/28/24 10:25,4.20,,
1/28/24 0:49,3.54375,1/28/24 0:49,3.81,1/28/24 10:41,4.20,,
1/28/24 0:55,3.54375,1/28/24 0:55,3.94,1/28/24 10:58,4.20,,
1/28/24 1:12,3.54375,1/28/24 1:12,3.94,1/28/24 11:14,4.20,,
1/28/24 1:28,3.54375,1/28/24 1:28,3.94,1/28/24 11:31,4.20,,
1/28/24 1:45,3.54375,1/28/24 1:45,3.94,1/28/24 11:48,4.20,,
1/28/24 2:01,3.54375,1/28/24 2:01,3.94,1/28/24 12:04,4.20,,
1/28/24 2:07,3.675,1/28/24 2:07,3.81,1/28/24 12:21,4.20,,
1/28/24 2:24,3.675,1/28/24 2:24,3.81,1/28/24 12:37,4.20,,
1/28/24 2:35,3.675,1/28/24 2:35,3.94,1/28/24 12:54,4.20,,
1/28/24 2:51,3.675,1/28/24 2:51,3.94,1/28/24 13:10,4.20,,
1/28/24 3:08,3.675,1/28/24 3:08,3.81,1/28/24 13:27,4.20,,
1/28/24 3:14,3.675,1/28/24 3:14,3.94,1/28/24 13:44,4.20,,
1/28/24 3:25,3.675,1/28/24 3:25,3.81,1/28/24 14:00,4.20,,
1/28/24 3:42,3.675,1/28/24 3:42,3.81,1/28/24 14:17,4.20,,
1/28/24 3:47,3.675,1/28/24 3:47,3.94,1/28/24 14:33,4.20,,
1/28/24 3:58,3.675,1/28/24 3:58,3.81,1/28/24 14:50,4.20,,
1/28/24 4:09,3.675,1/28/24 4:09,3.94,1/28/24 15:07,4.20,,
1/28/24 4:26,3.675,1/28/24 4:26,3.94,1/28/24 15:23,4.20,,
1/28/24 4:43,3.675,1/28/24 4:43,3.94,1/28/24 15:40,4.20,,
1/28/24 4:59,3.675,1/28/24 4:59,3.94,1/28/24 15:56,4.20,,
1/28/24 5:16,3.675,1/28/24 5:16,4.07,1/28/24 16:13,4.33,,
1/28/24 5:22,3.675,1/28/24 5:22,3.94,1/28/24 16:30,4.33,,
1/28/24 5:38,3.675,1/28/24 5:38,3.94,1/28/24 16:41,4.20,,
1/28/24 5:55,3.675,1/28/24 5:55,3.81,1/28/24 16:46,4.33,,
1/28/24 6:06,3.675,1/28/24 6:06,3.94,1/28/24 16:52,4.20,,
1/28/24 6:12,3.675,1/28/24 6:12,3.81,1/28/24 17:08,4.33,,
1/28/24 6:23,3.675,1/28/24 6:23,3.94,1/28/24 17:25,4.33,,
1/28/24 6:28,3.675,1/28/24 6:28,3.81,1/28/24 17:30,4.20,,
1/28/24 6:34,3.675,1/28/24 6:34,3.94,1/28/24 17:36,4.33,,
1/28/24 6:40,3.675,1/28/24 6:40,3.81,1/28/24 17:41,4.20,,
1/28/24 6:45,3.675,1/28/24 6:45,3.81,1/28/24 17:52,4.33,,
1/28/24 7:02,3.675,1/28/24 7:02,3.81,1/28/24 18:04,4.20,,
1/28/24 7:18,3.675,1/28/24 7:18,3.81,1/28/24 18:09,4.33,,
1/28/24 7:35,3.675,1/28/24 7:35,3.94,1/28/24 18:15,4.20,,
1/28/24 7:41,3.675,1/28/24 7:41,3.81,1/28/24 18:31,4.20,,
1/28/24 7:52,3.675,1/28/24 7:52,3.94,1/28/24 18:48,4.20,,
1/28/24 7:58,3.80625,1/28/24 7:58,3.81,1/28/24 18:59,4.33,,
1/28/24 8:14,3.675,1/28/24 8:14,3.94,1/28/24 19:04,4.20,,
1/28/24 8:20,3.675,1/28/24 8:20,3.81,1/28/24 19:15,4.33,,
1/28/24 8:25,3.675,1/28/24 8:25,3.94,1/28/24 19:32,4.33,,
1/28/24 8:42,3.80625,1/28/24 8:42,3.94,1/28/24 19:49,4.20,,
1/28/24 8:59,3.675,1/28/24 8:59,3.81,1/28/24 19:54,4.33,,
1/28/24 9:15,3.80625,1/28/24 9:15,3.81,1/28/24 20:00,4.20,,
1/28/24 9:32,3.675,1/28/24 9:32,3.81,1/28/24 20:16,4.20,,
1/28/24 9:43,3.80625,1/28/24 9:43,3.94,1/28/24 20:33,4.20,,
1/28/24 9:49,3.675,1/28/24 9:49,3.81,1/28/24 20:49,4.20,,
1/28/24 10:00,3.675,1/28/24 10:00,3.94,1/28/24 21:00,4.33,,
1/28/24 10:05,3.80625,1/28/24 10:05,3.81,1/28/24 21:06,4.20,,
1/28/24 10:17,3.675,1/28/24 10:17,3.94,1/28/24 21:17,4.33,,
1/28/24 10:33,3.80625,1/28/24 10:33,3.94,1/28/24 21:33,4.20,,
1/28/24 10:39,3.675,1/28/24 10:39,4.07,1/28/24 21:44,4.33,,
1/28/24 10:44,3.80625,1/28/24 10:44,3.94,1/28/24 22:01,4.33,,
1/28/24 11:01,3.675,1/28/24 11:01,3.81,1/28/24 22:07,4.20,,
1/28/24 11:18,3.80625,1/28/24 11:18,3.81,1/28/24 22:12,4.33,,
1/28/24 11:35,3.675,1/28/24 11:35,3.81,1/28/24 22:18,4.20,,
1/28/24 11:40,3.80625,1/28/24 11:40,3.94,1/28/24 22:34,4.20,,
1/28/24 11:51,3.675,1/28/24 11:51,4.07,1/28/24 22:40,4.33,,
1/28/24 11:57,3.80625,1/28/24 11:57,3.94,1/28/24 22:45,4.20,,
1/28/24 12:14,3.675,1/28/24 12:14,3.94,1/28/24 23:02,4.20,,
1/28/24 12:25,3.80625,1/28/24 12:25,4.07,1/28/24 23:13,4.33,,
1/28/24 12:42,3.675,1/28/24 12:42,4.07,1/28/24 23:19,4.20,,
1/28/24 12:47,3.675,1/28/24 12:47,3.94,1/28/24 23:35,4.20,,
1/28/24 12:58,3.80625,1/28/24 12:58,3.81,1/28/24 23:52,4.20,,
1/28/24 13:04,3.675,1/28/24 13:04,3.94,1/29/24 0:03,4.33,,
1/28/24 13:10,3.80625,1/28/24 13:10,3.94,1/29/24 0:08,4.20,,
1/28/24 13:26,3.675,1/28/24 13:26,3.81,1/29/24 0:19,4.33,,
1/28/24 13:37,3.80625,1/28/24 13:37,4.07,1/29/24 0:31,4.20,,
1/28/24 13:48,3.675,1/28/24 13:48,3.94,1/29/24 0:47,4.33,,
1/28/24 14:05,3.80625,1/28/24 14:05,3.81,1/29/24 0:58,4.20,,
1/28/24 14:11,3.80625,1/28/24 14:11,3.94,1/29/24 1:15,4.20,,
1/28/24 14:16,3.675,1/28/24 14:16,4.07,1/29/24 1:31,4.20,,
1/28/24 14:22,3.80625,1/28/24 14:22,3.94,1/29/24 1:48,4.20,,
1/28/24 14:39,3.675,1/28/24 14:39,3.94,1/29/24 2:04,4.20,,
1/28/24 14:50,3.80625,1/28/24 14:50,3.81,1/29/24 2:21,4.20,,
1/28/24 15:01,3.675,1/28/24 15:01,3.94,1/29/24 2:38,4.20,,
1/28/24 15:07,3.80625,1/28/24 15:07,3.81,1/29/24 2:54,4.20,,
1/28/24 15:12,3.675,1/28/24 15:12,3.94,1/29/24 3:11,4.20,,
1/28/24 15:23,3.80625,1/28/24 15:23,3.81,1/29/24 3:27,4.20,,
1/28/24 15:40,3.675,1/28/24 15:40,3.94,1/29/24 3:44,4.20,,
1/28/24 15:45,3.80625,1/28/24 15:45,3.81,1/29/24 4:00,4.20,,
1/28/24 16:02,3.675,1/28/24 16:02,3.81,1/29/24 4:17,4.20,,
1/28/24 16:19,3.675,1/28/24 16:19,3.94,1/29/24 4:34,4.20,,
1/28/24 16:25,3.80625,1/28/24 16:25,3.81,1/29/24 4:50,4.20,,
1/28/24 16:30,3.675,1/28/24 16:30,3.94,1/29/24 5:07,4.20,,
1/28/24 16:42,3.80625,1/28/24 16:42,3.94,1/29/24 5:18,4.20,,
1/28/24 16:47,3.675,1/28/24 16:47,3.94,1/29/24 5:35,4.20,,
1/28/24 16:53,3.80625,1/28/24 16:53,3.94,1/29/24 5:51,4.20,,
1/28/24 17:09,3.80625,1/28/24 17:09,3.94,1/29/24 6:08,4.20,,
1/28/24 17:20,3.675,1/28/24 17:20,3.81,1/29/24 6:24,4.20,,
1/28/24 17:32,3.675,1/28/24 17:32,4.07,1/29/24 6:41,4.20,,
1/28/24 17:37,3.80625,1/28/24 17:37,3.94,1/29/24 6:57,4.20,,
1/28/24 17:54,3.675,1/28/24 17:54,3.94,1/29/24 7:14,4.20,,
1/28/24 18:11,3.80625,1/28/24 18:11,3.81,1/29/24 7:31,4.20,,
1/28/24 18:16,3.675,1/28/24 18:16,4.07,1/29/24 7:47,4.20,,
1/28/24 18:27,3.80625,1/28/24 18:27,3.94,1/29/24 8:04,4.33,,
1/28/24 18:38,3.675,1/28/24 18:38,4.07,1/29/24 8:20,4.20,,
1/28/24 18:44,3.80625,1/28/24 18:44,3.94,1/29/24 8:37,4.20,,
1/28/24 19:01,3.675,1/28/24 19:01,4.07,1/29/24 8:48,4.33,,
1/28/24 19:06,3.80625,1/28/24 19:06,3.94,1/29/24 8:59,4.20,,
1/28/24 19:18,3.675,1/28/24 19:18,3.81,1/29/24 9:05,4.33,,
1/28/24 19:29,3.80625,1/28/24 19:29,3.94,1/29/24 9:16,4.20,,
1/28/24 19:45,3.675,1/28/24 19:45,3.94,1/29/24 9:32,4.33,,
1/28/24 19:51,3.80625,1/28/24 19:51,3.94,1/29/24 9:38,4.20,,
1/28/24 20:08,3.80625,1/28/24 20:08,3.94,1/29/24 9:55,4.33,,
1/28/24 20:24,3.80625,1/28/24 20:24,4.07,1/29/24 10:06,4.20,,
1/28/24 20:30,3.675,1/28/24 20:30,3.94,1/29/24 10:22,4.20,,
1/28/24 20:47,3.80625,1/28/24 20:47,3.94,1/29/24 10:33,4.33,,
1/28/24 21:03,3.80625,1/28/24 21:03,3.94,1/29/24 10:50,4.20,,
1/28/24 21:20,3.80625,1/28/24 21:20,3.94,1/29/24 10:56,4.33,,
1/28/24 21:37,3.80625,1/28/24 21:37,3.94,1/29/24 11:01,4.20,,
1/28/24 21:53,3.80625,1/28/24 21:53,3.94,1/29/24 11:18,4.20,,
1/28/24 22:04,3.80625,1/28/24 22:04,3.81,1/29/24 11:29,4.33,,
1/28/24 22:21,3.80625,1/28/24 22:21,3.81,1/29/24 11:34,4.20,,
1/28/24 22:38,3.80625,1/28/24 22:38,3.81,1/29/24 11:40,4.33,,
1/28/24 22:49,3.80625,1/28/24 22:49,3.81,1/29/24 11:56,4.33,,
1/28/24 22:55,3.80625,1/28/24 22:55,3.94,1/29/24 12:02,4.20,,
