Time,36.97c,24.52c,0c,Time2,12.27c,4.09c,16.36c
0,0,0,0,0,0,0,0
0,-0.13125,0,0,0,0,0,0
0,0,0,0.13125,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,-0.13125,0,0,2,0,0,0
1,0,0,0,2,0,0,0
2,0,0,0,2,0,0,0
2,-0.13125,0,0,3,0,0,0
2,0,0,0,3,0,0,0
2,0,0,0,3,0,0,0
2,0,0,0,3,0,0,0
3,-0.13125,0,0,4,0,0,0
3,0,0,0,4,0,0,0
3,0,0,0,4,0,0,0
3,0,0,0,4,0,0,0
4,0,0,0,5,0.13125,0,0
4,0,0,0,5,0.13125,0,0
4,0,0,0,5,0.13125,0,0
4,0,0,0,5,0,0,0
4,0,0,0,6,0.13125,0,0
4,0,0,0,6,0.13125,0,0
4,0,0,0,6,0,0,0
5,0,0,0,6,0.13125,0.13125,0
5,0,0,0,6,0,0,0
5,0,0,0,6,0.13125,0,0
5,0,0,0,7,0.13125,0,0
6,0,0,0,7,0,0,0
6,0,0,0,7,0.13125,0,0
6,0,0,0,7,0.13125,0,0
6,0,0,0,7,0,0,0
6,0,0,0,7,0,0.13125,0
7,0,0,0.13125,8,0.13125,0.13125,0
7,0,0,0,8,0,0.13125,0
7,0,0,0,8,0,0.13125,0
7,0,0,0.13125,8,0,0.13125,0
8,0,0,0.13125,9,0,0.13125,0
8,0,0,0.13125,9,0.13125,0.13125,0
8,0,0,0,9,0,0.13125,0
8,-0.13125,0,0.13125,9,0,0.13125,0
9,0,0,0,9,0.13125,0.13125,0
9,0,0,0.13125,10,0,0.13125,0
9,0,0,0.13125,10,0.13125,0.13125,0
9,0,0,0.13125,10,0.13125,0.13125,0
9,0,0,0.13125,10,0.13125,0.13125,0
10,0,0,0.13125,11,0.13125,0.13125,0
10,0,0,0.13125,11,0.13125,0.13125,0
10,0,0,0.13125,11,0.13125,0.13125,0
10,0,0,0.13125,12,0.13125,0.13125,0
11,0,0,0.13125,12,0.13125,0.13125,0
11,0,0,0.13125,12,0.13125,0.13125,0
11,0,0,0.13125,12,0.13125,0.13125,0
11,0,0,0.13125,13,0.13125,0.13125,0
12,0,0,0.13125,13,0.13125,0.13125,0
12,0,0,0.13125,13,0.13125,0.13125,0
12,-0.13125,0,0.13125,14,0.13125,0.13125,0
12,0,0,0.13125,14,0.13125,0.13125,0
13,-0.13125,0,0.13125,14,0.13125,0.13125,0
13,0,0,0.13125,14,0.13125,0.13125,0
13,0,0,0.13125,15,0.13125,0.13125,0
13,-0.13125,0,0.13125,15,0.13125,0.13125,0
13,0,0,0.13125,15,0.2625,0.13125,0
13,0,0,0.13125,15,0.13125,0.13125,0.13125
14,0,0,0.13125,15,0.13125,0.13125,0
14,0,0,0.13125,16,0.13125,0.13125,0.13125
14,0,0,0.2625,16,0.2625,0.13125,0
14,0,0,0.2625,16,0.2625,0.13125,0.13125
15,0,0,0.2625,16,0.13125,0.13125,0
15,0,0,0.2625,16,0.2625,0.13125,0.13125
15,0,0,0.2625,17,0.2625,0.13125,0.13125
15,0,0,0.2625,17,0.39375,0.13125,0.13125
16,0,0,0.39375,17,0.2625,0.13125,0.13125
16,0,0,0.39375,17,0.39375,0.13125,0.13125
16,0,0,0.65625,17,0.2625,0.13125,0.13125
17,0,0,0.65625,17,0.2625,0.13125,0.13125
17,0,0,0.65625,17,0.13125,0.13125,0.13125
17,0,0,0.65625,18,0.2625,0.13125,0.13125
17,0,0,0.65625,18,0.39375,0.13125,0.2625
18,0,0.13125,0.65625,18,0.2625,0.13125,0.13125
18,0,0,0.65625,18,0.39375,0.13125,0.2625
18,0,0,0.7875,18,0.13125,0.13125,0.13125
18,0,1.3125,0.65625,18,0.39375,0.13125,0.2625
19,0,0,0.7875,19,0.39375,0,0.2625
19,0,0,0.65625,19,0.39375,0,0.2625
19,0,0,0.65625,19,0.2625,0.13125,0.2625
19,0,0,0.65625,19,0.39375,0,0.2625
20,0,0,0.65625,19,0.39375,0,0.2625
20,0,0,0.65625,20,0.525,0.13125,0.2625
20,0,0,0.7875,20,0.39375,0,0.2625
21,0,0,0.7875,20,0.525,0.13125,0.2625
21,0,0,0.7875,20,0.39375,0,0.2625
21,0,0,1.05,20,0.525,0,0.2625
21,0,0,1.05,21,0.525,0.13125,0.39375
22,0,0,1.05,21,0.65625,0,0.2625
22,0,0,1.05,21,0.525,0,0.2625
22,0,0,1.05,21,0.65625,0,0.2625
22,0,0,1.18125,21,0.525,0.13125,0.2625
23,0,0,1.05,21,0.65625,0,0.39375
23,0,0,1.18125,21,0.7875,0,0.2625
23,0,0,1.05,21,0.65625,0.13125,0.39375
24,0,0,1.18125,22,0.7875,0,0.39375
24,0,0,1.05,22,0.7875,0.13125,0.2625
24,0,0,1.18125,22,0.65625,0,0.39375
24,0,0,1.05,22,0.525,0.13125,0.2625
24,0,0.13125,1.18125,22,0.7875,0,0.39375
25,0,0.13125,1.18125,22,0.65625,0.13125,0.39375
25,0,0.13125,1.05,22,0.65625,0,0.39375
25,0,0.13125,1.3125,22,0.7875,0.13125,0.39375
26,0,0.2625,1.18125,23,0.65625,0,0.525
26,0,0.2625,1.3125,23,0.7875,0.13125,0.39375
26,0,0.39375,1.44375,23,0.65625,0,0.65625
26,0,0.2625,1.3125,23,0.7875,0,0.525
26,0,0.39375,1.44375,23,0.65625,0.13125,0.65625
27,0,0.39375,1.3125,23,0.91875,0.13125,0.525
27,0,0.39375,1.44375,23,0.7875,0,0.65625
27,0,0.525,1.3125,23,0.91875,0,0.525
27,0,0.525,1.44375,23,0.7875,0,0.39375
27,-0.13125,0.525,1.44375,24,0.7875,0,0.7875
28,-0.13125,0.525,1.44375,24,0.91875,0.13125,0.65625
28,-0.13125,0.525,1.44375,24,0.91875,0,0.7875
28,-0.13125,0.39375,1.44375,25,0.7875,0.13125,0.2625
28,-0.13125,0.525,1.44375,25,0.91875,0,0.525
29,-0.13125,0.525,1.44375,25,1.05,0.13125,0.7875
29,-0.13125,0.525,1.44375,25,0.91875,0,0.65625
29,-0.13125,0.65625,1.575,25,1.05,0.13125,0.91875
29,-0.13125,0.525,1.44375,26,1.18125,0.13125,0.65625
30,-0.13125,0.525,1.575,26,1.18125,0.13125,0.525
30,-0.13125,0.525,1.44375,26,1.3125,0.13125,0.65625
30,-0.13125,0.39375,1.575,26,1.18125,0.13125,0.525
30,-0.13125,0.39375,1.44375,26,1.3125,0.13125,0.7875
31,-0.13125,0.39375,1.70625,27,1.05,0.13125,0.65625
31,-0.13125,0.525,1.70625,27,1.18125,0.13125,0.7875
31,0,0.65625,1.70625,27,1.3125,0.13125,1.05
31,0,0.525,1.8375,27,1.3125,0.13125,0.7875
32,0,0.65625,1.8375,27,1.18125,0.13125,1.05
32,0,0.7875,1.96875,28,1.3125,0.13125,0.7875
32,0,0.7875,1.8375,28,1.3125,0.13125,1.05
32,0.13125,0.91875,1.96875,28,1.18125,0.13125,0.7875
32,0.13125,0.7875,1.96875,28,1.3125,0.13125,0.91875
33,0.13125,0.91875,1.8375,28,1.44375,0.13125,1.18125
33,0.13125,0.7875,1.8375,28,1.575,0.13125,0.91875
33,0.13125,0.91875,1.8375,28,1.44375,0.13125,1.44375
34,0.13125,0.91875,1.96875,28,1.3125,0.13125,0.65625
34,0.13125,1.05,1.8375,29,1.44375,0.13125,1.3125
34,0.13125,1.05,1.96875,29,1.575,0.13125,1.05
34,0.13125,1.18125,1.8375,29,1.44375,0.13125,0.91875
35,0,1.05,1.96875,29,1.70625,0.13125,1.18125
35,0.13125,1.05,2.1,29,1.44375,0.13125,0.65625
35,0.2625,1.18125,1.96875,29,1.70625,0.13125,1.18125
35,0.13125,1.3125,2.1,29,1.44375,0.13125,0.91875
35,0.2625,1.3125,2.23125,29,1.575,0.13125,0.7875
35,0.13125,1.44375,1.575,29,1.44375,0.13125,1.05
35,0.2625,1.3125,2.1,30,1.575,0.13125,1.3125
35,0.13125,1.44375,1.96875,30,1.44375,0.13125,1.18125
36,0.2625,1.3125,2.49375,30,1.70625,0.13125,0.7875
36,0.13125,1.44375,2.625,30,1.8375,0.13125,0.91875
36,0.2625,1.3125,2.625,30,1.70625,0.13125,1.05
36,0.2625,1.44375,2.75625,30,1.96875,0.2625,1.18125
36,0.2625,1.3125,2.8875,30,1.70625,0.2625,1.3125
36,0.2625,1.44375,2.75625,30,1.8375,0.2625,1.05
37,0.13125,1.3125,2.8875,31,1.70625,0.2625,1.44375
37,0.2625,1.44375,2.8875,31,1.8375,0.2625,1.3125
37,0.2625,1.3125,3.01875,31,1.8375,0.2625,1.05
37,0.39375,1.44375,3.15,31,1.96875,0.2625,1.18125
37,0.2625,1.3125,3.15,31,2.1,0.2625,1.3125
38,0.39375,1.44375,3.54375,31,1.8375,0.2625,1.70625
38,0.2625,1.3125,3.9375,31,1.96875,0.2625,1.3125
38,0.39375,1.44375,3.9375,32,1.8375,0.2625,1.96875
38,0.2625,1.3125,4.06875,32,1.96875,0.2625,1.70625
38,0.39375,1.44375,4.06875,32,1.70625,0.2625,1.18125
38,0.525,1.575,4.06875,32,1.8375,0.2625,1.96875
38,0.39375,1.70625,4.06875,32,1.96875,0.2625,1.18125
39,0.525,1.575,4.06875,32,1.70625,0.2625,1.70625
39,0.39375,1.70625,4.06875,32,1.96875,0.2625,1.575
39,0.525,1.44375,4.06875,32,1.70625,0.2625,1.05
39,0.39375,1.70625,4.06875,32,1.8375,0.2625,2.23125
39,0.525,1.70625,4.06875,32,1.96875,0.2625,1.3125
39,0.39375,1.44375,4.06875,33,1.8375,0.2625,1.70625
40,0.525,1.70625,4.06875,33,1.96875,0.2625,2.23125
40,0.39375,1.575,4.06875,33,1.8375,0.2625,2.1
40,0.525,1.70625,4.06875,33,2.1,0.2625,1.70625
40,0.65625,1.575,4.2,33,1.96875,0.2625,2.1
40,0.525,1.70625,4.2,33,1.8375,0.2625,1.96875
41,0.91875,1.70625,4.2,33,2.1,0.2625,1.70625
42,0.7875,1.575,4.2,34,2.1,0.2625,1.44375
42,0.91875,1.44375,4.2,34,2.1,0.2625,1.575
42,0.525,1.575,4.2,34,2.23125,0.2625,1.70625
42,0.65625,1.8375,4.2,34,2.1,0.2625,1.96875
43,0.7875,1.70625,4.2,34,2.23125,0.2625,1.70625
43,0.91875,1.96875,4.2,34,2.23125,0.2625,1.8375
44,1.18125,1.8375,4.2,34,2.1,0.2625,1.96875
45,0.91875,1.575,4.2,34,2.49375,0.2625,1.8375
45,1.18125,1.44375,4.2,34,1.96875,0.2625,1.575
46,1.05,1.575,4.2,35,2.23125,0.2625,1.96875
46,1.18125,1.70625,4.2,35,2.1,0.2625,2.1
46,1.3125,1.70625,4.2,35,2.23125,0.2625,1.70625
46,1.18125,1.70625,4.2,35,2.23125,0.2625,2.1
46,1.575,1.8375,4.2,35,2.49375,0.2625,1.70625
47,1.70625,1.96875,4.2,35,2.23125,0.2625,2.1
47,1.44375,1.96875,4.2,35,2.3625,0.2625,1.8375
47,1.3125,1.8375,4.2,35,2.23125,0.2625,2.1
47,1.18125,1.96875,4.2,35,2.49375,0.2625,2.625
47,1.3125,1.70625,4.2,36,2.3625,0.2625,2.49375
47,1.44375,1.8375,4.33125,36,2.49375,0.2625,2.625
47,1.18125,1.96875,4.2,36,2.3625,0.2625,2.49375
47,1.8375,1.96875,4.2,36,2.625,0.2625,2.49375
47,1.18125,2.1,4.2,36,2.75625,0.2625,2.49375
47,1.44375,2.1,4.2,36,2.49375,0.2625,2.49375
48,1.18125,2.23125,4.2,37,2.75625,0.2625,2.49375
48,1.575,2.1,4.2,37,2.625,0.2625,2.49375
48,1.05,2.1,4.2,37,2.75625,0.2625,2.49375
48,1.3125,2.23125,4.2,37,2.49375,0.2625,2.49375
48,1.96875,2.1,4.2,37,2.625,0.2625,2.49375
48,1.70625,2.23125,4.2,37,2.75625,0.2625,2.49375
48,1.3125,2.1,4.2,37,2.625,0.2625,2.49375
48,1.96875,2.1,4.2,37,2.8875,0.2625,2.49375
48,1.44375,2.23125,4.33125,37,2.625,0.2625,2.49375
48,1.8375,2.1,4.2,38,2.8875,0.2625,2.49375
49,1.18125,2.23125,4.33125,38,2.75625,0.2625,3.01875
49,1.70625,2.3625,4.2,38,2.8875,0.2625,2.8875
49,1.3125,2.3625,4.33125,38,2.75625,0.2625,2.75625
49,1.8375,2.3625,4.33125,38,2.625,0.2625,2.8875
49,1.44375,2.3625,4.33125,38,2.75625,0.2625,2.8875
49,1.8375,2.49375,4.33125,38,2.625,0.2625,3.15
49,1.44375,2.3625,4.2,38,2.75625,0.2625,3.15
49,1.70625,2.3625,4.33125,38,2.625,0.2625,3.01875
49,1.44375,2.3625,4.2,38,2.75625,0.2625,3.15
49,1.3125,2.49375,4.33125,39,3.01875,0.13125,3.15
50,1.70625,2.3625,4.33125,39,2.8875,0.2625,3.01875
50,1.70625,2.49375,4.33125,39,3.01875,0.13125,3.01875
50,1.575,2.3625,4.33125,39,3.01875,0.2625,2.8875
50,2.1,2.49375,4.33125,39,2.8875,0.13125,3.01875
50,1.70625,2.49375,4.33125,40,3.01875,0.2625,3.15
50,1.575,2.625,4.33125,40,3.01875,0.13125,3.01875
50,2.1,2.625,4.2,40,3.15,0.13125,3.28125
51,1.70625,2.625,4.33125,40,3.15,0.2625,3.15
51,1.8375,2.75625,4.2,40,3.28125,0.13125,3.28125
51,1.70625,2.625,4.33125,41,3.15,0.2625,3.4125
51,1.8375,2.625,4.33125,41,3.28125,0.13125,3.4125
51,2.23125,2.625,4.33125,41,3.15,0.2625,3.4125
51,1.8375,2.625,4.33125,41,3.28125,0.13125,3.4125
51,1.575,2.75625,4.33125,41,3.15,0.2625,3.28125
51,1.70625,2.625,4.33125,41,3.28125,0.13125,3.675
51,2.23125,2.75625,4.33125,41,3.15,0.2625,3.54375
52,1.8375,2.625,4.33125,42,3.15,0.13125,3.54375
52,2.23125,2.75625,4.33125,42,3.15,0.2625,3.54375
52,1.8375,2.625,4.33125,42,3.4125,0.2625,3.54375
52,2.1,2.75625,4.33125,42,3.28125,0.13125,3.4125
52,1.96875,2.625,4.33125,42,3.4125,0.2625,3.28125
52,1.8375,2.75625,4.33125,42,3.28125,0.13125,3.28125
52,1.96875,2.75625,4.2,43,3.28125,0.2625,3.4125
52,1.8375,2.8875,4.33125,43,3.4125,0.13125,3.4125
53,2.3625,2.75625,4.33125,43,3.28125,0.13125,3.28125
53,1.96875,2.75625,4.33125,43,3.28125,0.13125,3.28125
53,2.1,2.8875,4.33125,44,3.28125,0.13125,3.15
53,1.96875,2.75625,4.33125,44,3.28125,0.2625,3.54375
53,2.1,2.8875,4.33125,44,3.4125,0.13125,3.28125
53,1.8375,2.8875,4.33125,45,3.4125,0.2625,3.01875
53,2.23125,2.8875,4.33125,45,3.4125,0.13125,3.28125
53,1.96875,2.8875,4.33125,45,3.4125,0.13125,3.4125
53,2.49375,2.8875,4.33125,45,3.4125,0.13125,3.28125
53,2.23125,3.01875,4.33125,46,3.4125,0.13125,3.4125
54,2.1,2.75625,4.33125,46,3.4125,0.2625,3.28125
54,2.3625,2.8875,4.33125,46,3.4125,0.13125,3.4125
54,2.1,2.8875,4.33125,46,3.675,0.2625,3.54375
54,2.23125,2.8875,4.33125,46,3.54375,0.13125,3.4125
54,2.1,2.8875,4.2,46,3.4125,0.2625,3.4125
54,2.23125,2.8875,4.2,47,3.675,0.13125,3.28125
55,2.3625,2.8875,4.33125,47,3.675,0.13125,3.4125
55,2.49375,3.01875,4.2,47,3.675,0.2625,3.28125
55,1.96875,2.8875,4.33125,47,3.675,0.13125,3.4125
55,2.3625,3.01875,4.33125,47,3.675,0.2625,3.4125
55,2.49375,2.8875,4.33125,47,3.675,0.2625,3.28125
55,2.1,3.01875,4.33125,48,3.80625,0.13125,3.4125
55,2.23125,3.01875,4.33125,48,3.675,0.2625,3.4125
55,2.3625,2.8875,4.33125,48,3.675,0.13125,3.28125
55,2.23125,3.01875,4.33125,48,3.675,0.2625,3.4125
56,2.3625,3.01875,4.33125,48,3.675,0.2625,3.4125
56,2.23125,3.01875,4.33125,49,3.675,0.2625,3.28125
56,2.3625,3.15,4.33125,49,3.675,0.2625,3.4125
56,2.23125,3.01875,4.33125,49,3.675,0.13125,3.54375
56,2.49375,3.15,4.33125,49,3.80625,0.2625,3.4125
56,2.23125,3.01875,4.33125,49,3.675,0.13125,3.54375
57,2.8875,3.01875,4.33125,50,3.80625,0.2625,3.54375
57,2.625,3.15,4.33125,50,3.675,0.13125,3.675
57,2.49375,3.01875,4.33125,50,3.80625,0.2625,3.54375
57,2.23125,3.15,4.33125,50,3.675,0.2625,3.675
57,2.625,3.01875,4.33125,50,3.80625,0.2625,3.675
57,2.3625,3.15,4.33125,50,3.675,0.2625,3.675
57,2.75625,3.15,4.33125,51,3.80625,0.2625,3.675
58,2.625,3.01875,4.33125,51,3.675,0.13125,3.80625
58,2.49375,3.15,4.33125,51,3.80625,0.2625,3.675
58,2.3625,3.01875,4.33125,51,3.675,0.13125,3.675
58,3.01875,3.01875,4.33125,51,3.80625,0.13125,3.675
58,2.49375,3.15,4.33125,51,3.80625,0.13125,3.80625
58,3.01875,3.01875,4.33125,52,3.675,0.13125,3.9375
58,2.49375,3.15,4.33125,52,3.80625,0.13125,3.80625
59,3.15,3.01875,4.33125,52,3.80625,0.13125,3.675
59,2.49375,3.15,4.33125,52,3.80625,0.13125,3.80625
59,2.625,3.15,4.33125,53,3.80625,0.13125,3.80625
59,2.8875,3.15,4.33125,53,3.80625,0.13125,3.9375
59,2.49375,3.15,4.33125,53,3.80625,0.13125,3.80625
59,2.3625,3.15,4.33125,53,3.80625,0,3.9375
59,2.625,3.15,4.33125,54,3.80625,0,3.80625
59,2.49375,3.15,4.33125,54,3.80625,0,3.9375
59,2.3625,3.15,4.33125,54,3.80625,0,3.9375
60,2.625,3.28125,4.33125,55,3.80625,0,3.80625
60,2.75625,3.15,4.33125,55,3.80625,0,3.9375
60,2.625,3.28125,4.33125,55,3.80625,0.13125,3.9375
60,2.75625,3.28125,4.33125,55,3.80625,0,4.06875
60,2.625,3.28125,4.33125,56,3.80625,0.13125,4.06875
60,2.75625,3.28125,4.33125,56,3.80625,0.13125,4.06875
60,2.625,3.28125,4.33125,56,3.80625,0.2625,4.06875
60,2.8875,3.4125,4.33125,56,3.80625,0.13125,4.06875
60,2.75625,3.28125,4.33125,57,3.80625,0.2625,4.06875
61,2.625,3.4125,4.33125,57,3.80625,0.2625,4.06875
61,3.15,3.28125,4.33125,57,3.80625,0.13125,4.06875
61,2.8875,3.4125,4.33125,58,3.80625,0.2625,4.06875
61,2.625,3.4125,4.33125,58,3.80625,0.13125,4.2
61,2.75625,3.28125,4.33125,58,3.80625,0.2625,4.06875
61,2.49375,3.4125,4.33125,58,3.80625,0.39375,4.2
61,2.75625,3.4125,4.33125,59,3.80625,0.2625,4.06875
61,3.01875,3.4125,4.33125,59,3.80625,0.13125,4.2
61,2.625,3.54375,4.33125,59,3.80625,0.2625,4.06875
61,2.8875,3.4125,4.33125,59,3.80625,0.2625,4.2
61,3.01875,3.54375,4.33125,60,3.80625,0.13125,4.06875
62,2.625,3.4125,4.33125,60,3.9375,0.13125,4.2
62,2.8875,3.54375,4.33125,60,3.80625,0.2625,4.06875
62,2.75625,3.54375,4.33125,60,3.80625,0.13125,4.2
62,2.3625,3.54375,4.33125,60,3.80625,0.2625,4.06875
62,2.75625,3.4125,4.33125,60,3.80625,0.65625,4.06875
62,3.01875,3.54375,4.33125,60,3.9375,0.525,4.2
62,2.625,3.54375,4.33125,60,3.80625,0.39375,4.2
62,2.625,3.54375,4.33125,60,3.80625,0.525,4.2
62,2.8875,3.54375,4.33125,61,3.80625,0.39375,4.2
62,2.625,3.54375,4.33125,61,3.80625,0.525,4.2
63,2.75625,3.54375,4.33125,61,3.9375,0.39375,4.2
63,3.15,3.54375,4.33125,61,3.80625,0.525,4.2
63,2.75625,3.675,4.33125,61,3.80625,0.39375,4.2
63,2.8875,3.54375,4.33125,62,3.80625,0.525,4.2
63,3.01875,3.675,4.33125,62,3.9375,0.65625,4.2
63,2.8875,3.54375,4.4625,62,3.80625,0.7875,4.2
63,2.75625,3.675,4.33125,62,3.9375,0.65625,4.2
63,3.01875,3.54375,4.33125,62,3.80625,0.525,4.2
63,2.8875,3.675,4.33125,63,3.80625,0.65625,4.2
63,3.15,3.675,4.33125,63,3.80625,0.525,4.2
64,3.01875,3.54375,4.33125,63,3.9375,0.65625,4.2
64,2.8875,3.675,4.4625,63,3.80625,0.525,4.2
64,3.01875,3.54375,4.33125,64,3.80625,0.525,4.2
64,2.8875,3.675,4.33125,64,3.80625,0.65625,4.2
64,3.01875,3.54375,4.33125,64,3.9375,0.525,4.2
64,3.15,3.675,4.33125,64,3.80625,0.65625,4.2
64,3.01875,3.675,4.33125,65,3.80625,0.91875,4.2
65,2.625,3.675,4.4625,65,3.80625,1.05,4.2
65,3.28125,3.675,4.33125,65,3.9375,0.91875,4.2
65,3.01875,3.675,4.33125,65,3.80625,0.7875,4.2
65,3.15,3.675,4.33125,65,3.80625,0.91875,4.2
65,2.8875,3.675,4.33125,66,3.9375,0.7875,4.2
65,3.01875,3.675,4.4625,66,3.80625,0.91875,4.2
65,2.8875,3.675,4.33125,66,3.80625,0.7875,4.33125
65,3.15,3.675,4.4625,66,3.9375,0.91875,4.2
66,2.8875,3.675,4.33125,66,3.80625,0.7875,4.2
66,3.15,3.675,4.4625,66,3.9375,1.05,4.33125
66,3.01875,3.675,4.33125,66,3.80625,1.18125,4.2
66,3.01875,3.675,4.4625,67,3.80625,0.7875,4.33125
66,3.15,3.675,4.33125,67,3.80625,0.91875,4.2
66,3.01875,3.675,4.33125,67,3.9375,0.7875,4.33125
66,3.01875,3.675,4.4625,67,3.80625,1.18125,4.2
67,3.15,3.675,4.33125,67,3.9375,1.05,4.33125
67,3.01875,3.80625,4.4625,67,3.80625,0.91875,4.2
67,3.15,3.675,4.33125,67,3.9375,0.7875,4.2
67,3.01875,3.80625,4.4625,68,3.9375,0.91875,4.33125
67,3.15,3.675,4.33125,68,3.9375,1.05,4.2
67,3.01875,3.80625,4.4625,68,3.80625,1.18125,4.33125
68,3.15,3.675,4.33125,68,3.9375,1.05,4.33125
68,3.01875,3.675,4.33125,68,3.80625,0.65625,4.33125
68,3.15,3.675,4.4625,69,3.80625,0.91875,4.33125
68,3.01875,3.675,4.33125,69,3.9375,1.05,4.33125
68,3.15,3.675,4.4625,69,3.80625,1.18125,4.33125
68,3.01875,3.80625,4.4625,69,3.9375,1.05,4.33125
68,3.15,3.675,4.33125,69,3.80625,1.18125,4.33125
69,3.01875,3.80625,4.4625,69,3.9375,1.05,4.33125
69,3.15,3.675,4.33125,70,3.80625,1.3125,4.33125
69,3.15,3.80625,4.4625,70,3.9375,1.05,4.33125
69,3.15,3.80625,4.4625,70,3.80625,1.3125,4.33125
69,3.15,3.80625,4.33125,70,3.9375,1.18125,4.33125
70,3.15,3.675,4.4625,70,3.80625,1.3125,4.33125
70,3.15,3.80625,4.33125,70,3.9375,1.575,4.33125
70,3.15,3.80625,4.4625,71,3.80625,1.3125,4.33125
70,3.28125,3.675,4.33125,71,3.9375,1.3125,4.33125
70,3.15,3.80625,4.4625,71,3.9375,1.44375,4.33125
71,3.28125,3.675,4.33125,71,3.9375,1.575,4.33125
71,3.15,3.80625,4.4625,71,3.9375,1.70625,4.33125
71,3.28125,3.675,4.33125,71,3.9375,1.44375,4.33125
71,3.15,3.80625,4.4625,71,3.9375,1.575,4.33125
71,3.28125,3.675,4.33125,72,3.9375,1.44375,4.33125
71,3.15,3.80625,4.33125,72,3.9375,1.3125,4.33125
71,3.28125,3.675,4.4625,72,3.80625,1.575,4.33125
72,3.15,3.80625,4.33125,72,3.9375,1.44375,4.33125
72,3.15,3.80625,4.4625,72,3.9375,1.70625,4.4625
72,3.28125,3.80625,4.33125,72,3.80625,1.575,4.33125
72,3.15,3.80625,4.4625,72,3.9375,1.575,4.33125
72,3.15,3.675,4.33125,73,3.80625,1.575,4.33125
72,3.28125,3.80625,4.4625,73,3.9375,1.44375,4.33125
72,3.28125,3.80625,4.33125,73,3.9375,1.575,4.4625
73,3.28125,3.80625,4.4625,73,3.9375,1.575,4.33125
73,3.28125,3.80625,4.33125,73,3.80625,1.575,4.4625
73,3.28125,3.80625,4.33125,73,3.9375,1.44375,4.33125
73,3.28125,3.80625,4.33125,74,3.9375,1.70625,4.4625
74,3.28125,3.80625,4.33125,74,3.9375,1.575,4.33125
74,3.28125,3.80625,4.33125,74,3.9375,1.44375,4.33125
74,3.28125,3.80625,4.33125,74,3.9375,1.575,4.4625
74,3.4125,3.80625,4.33125,75,3.9375,1.70625,4.4625
74,3.28125,3.80625,4.4625,75,3.9375,1.8375,4.33125
74,3.4125,3.80625,4.33125,75,3.9375,1.70625,4.4625
74,3.28125,3.80625,4.33125,76,3.9375,1.44375,4.33125
75,3.4125,3.80625,4.33125,76,3.9375,1.70625,4.4625
75,3.28125,3.80625,4.4625,76,3.80625,1.8375,4.33125
75,3.4125,3.80625,4.33125,76,3.9375,1.70625,4.4625
75,3.4125,3.80625,4.33125,76,3.9375,1.96875,4.33125
76,3.28125,3.80625,4.4625,77,3.9375,1.8375,4.4625
76,3.4125,3.80625,4.33125,77,3.9375,1.96875,4.33125
76,3.4125,3.80625,4.4625,77,3.9375,2.23125,4.4625
76,3.4125,3.80625,4.33125,78,3.9375,2.3625,4.33125
76,3.4125,3.80625,4.4625,78,3.9375,2.23125,4.4625
77,3.4125,3.80625,4.4625,78,3.9375,1.96875,4.4625
77,3.4125,3.80625,4.33125,78,3.9375,2.3625,4.4625
77,3.4125,3.80625,4.4625,78,3.9375,2.75625,4.4625
78,3.4125,3.80625,4.4625,79,3.9375,2.75625,4.33125
